2023-07-23 13:35:30.440 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.443 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.447 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.450 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.453 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.457 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.461 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.464 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.468 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.471 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.475 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.478 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.482 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.485 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.489 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.492 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.495 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.498 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.501 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.505 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.508 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.511 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.514 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.517 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:30.521 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.525 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:30.528 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:31.667 [info] > git config --get commit.template [4ms]
2023-07-23 13:35:31.667 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [1ms]
2023-07-23 13:35:31.692 [info] > git status -z -uall [21ms]
2023-07-23 13:35:34.576 [info] > git check-ignore -v -z --stdin [0ms]
2023-07-23 13:35:40.253 [info] > git config --get commit.template [9ms]
2023-07-23 13:35:40.254 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [2ms]
2023-07-23 13:35:40.281 [info] > git status -z -uall [23ms]
2023-07-23 13:35:45.365 [info] > git config --get commit.template [3ms]
2023-07-23 13:35:45.365 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [1ms]
2023-07-23 13:35:45.387 [info] > git status -z -uall [19ms]
2023-07-23 13:35:50.463 [info] > git config --get commit.template [1ms]
2023-07-23 13:35:50.467 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [0ms]
2023-07-23 13:35:50.490 [info] > git status -z -uall [19ms]
2023-07-23 13:35:52.818 [info] > git check-ignore -v -z --stdin [1ms]
2023-07-23 13:35:55.569 [info] > git config --get commit.template [4ms]
2023-07-23 13:35:55.569 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [1ms]
2023-07-23 13:35:55.592 [info] > git status -z -uall [20ms]
2023-07-23 13:35:57.657 [info] > git check-ignore -v -z --stdin [1ms]
2023-07-23 13:36:00.680 [info] > git config --get commit.template [1ms]
2023-07-23 13:36:00.684 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [0ms]
2023-07-23 13:36:00.711 [info] > git status -z -uall [20ms]
2023-07-23 13:36:05.807 [info] > git config --get commit.template [1ms]
2023-07-23 13:36:05.811 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [0ms]
2023-07-23 13:36:05.835 [info] > git status -z -uall [20ms]
2023-07-23 13:36:10.923 [info] > git config --get commit.template [8ms]
2023-07-23 13:36:10.924 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [1ms]
2023-07-23 13:36:10.947 [info] > git status -z -uall [20ms]
